x,y
1246,197.60000000000002
1124,-64.0
1194,82.39999999999998
1251,154.39999999999998
1169,161.60000000000002
1222,53.599999999999966
1015,-337.6
1164,118.39999999999998
1242,197.60000000000002
1177,161.60000000000002
1039,-52.0
247,293.6
1030,24.80000000000001
1192,144.79999999999995
246,296.0
693,-140.8
245,293.6
244,291.19999999999993
243,291.19999999999993
1182,173.60000000000002
243,291.19999999999993
1238,120.79999999999995
1207,75.19999999999999
242,291.19999999999993
1038,190.39999999999998
1218,53.599999999999966
241,291.19999999999993
1217,48.80000000000001
240,288.79999999999995
1185,185.60000000000002
1164,149.60000000000002
1021,-102.40000000000003
239,288.79999999999995
239,288.79999999999995
238,288.79999999999995
237,291.19999999999993
236,291.19999999999993
236,291.19999999999993
235,293.6
234,293.6
233,293.6
232,293.6
231,293.6
1237,185.60000000000002
230,296.0
229,298.4
228,298.4
227,296.0
1204,92.0
226,296.0
398,-61.60000000000002
1023,-95.19999999999999
691,-143.2
641,-200.8
225,296.0
703,-155.20000000000002
224,296.0
223,296.0
222,296.0
219,296.0
216,298.4
215,298.4
217,300.79999999999995
214,300.79999999999995
215,300.79999999999995
1208,94.39999999999998
214,300.79999999999995
213,300.79999999999995
212,300.79999999999995
210,300.79999999999995
209,300.79999999999995
208,300.79999999999995
206,300.79999999999995
205,300.79999999999995
701,-150.4
205,300.79999999999995
203,300.79999999999995
202,303.19999999999993
201,303.19999999999993
200,303.19999999999993
199,303.19999999999993
1218,72.79999999999995
198,305.6
1207,44.0
197,305.6
196,305.6
195,308.0
194,305.6
193,305.6
192,305.6
191,308.0
190,308.0
187,308.0
185,310.4
184,310.4
184,310.4
183,312.79999999999995
182,312.79999999999995
181,312.79999999999995
180,312.79999999999995
179,312.79999999999995
177,312.79999999999995
177,312.79999999999995
176,312.79999999999995
171,312.79999999999995
169,315.19999999999993
172,315.19999999999993
170,317.6
170,317.6
167,317.6
167,312.79999999999995
166,312.79999999999995
164,320.0
165,312.79999999999995
163,312.79999999999995
162,315.19999999999993
163,315.19999999999993
162,315.19999999999993
160,317.6
157,305.6
153,327.19999999999993
153,324.79999999999995
153,320.0
152,322.4
151,320.0
151,324.79999999999995
147,324.79999999999995
145,324.79999999999995
144,300.79999999999995
141,324.79999999999995
144,324.79999999999995
144,324.79999999999995
143,324.79999999999995
142,322.4
139,327.19999999999993
133,327.19999999999993
135,327.19999999999993
135,327.19999999999993
136,329.6
134,327.19999999999993
132,329.6
126,329.6
127,329.6
121,329.6
126,329.6
130,329.6
127,329.6
119,329.6
124,329.6
118,332.0
123,332.0
122,332.0
122,332.0
122,334.4
121,334.4
104,334.4
119,334.4
113,334.4
114,334.4
113,334.4
115,334.4
112,336.79999999999995
113,336.79999999999995
109,351.19999999999993
105,339.19999999999993
109,339.19999999999993
110,341.6
109,341.6
108,341.6
106,341.6
104,341.6
91,334.4
103,341.6
101,332.0
99,339.19999999999993
103,341.6
99,344.0
94,341.6
98,344.0
96,344.0
96,344.0
90,346.4
95,346.4
94,348.79999999999995
93,346.4
91,346.4
90,348.79999999999995
90,344.0
89,348.79999999999995
78,344.0
83,344.0
79,344.0
83,348.79999999999995
84,351.19999999999993
83,353.6
84,353.6
80,356.0
82,356.0
82,358.4
82,356.0
72,351.19999999999993
73,348.79999999999995
75,351.19999999999993
71,348.79999999999995
70,363.19999999999993
69,351.19999999999993
69,351.19999999999993
67,360.79999999999995
67,356.0
66,356.0
66,356.0
64,358.4
65,363.19999999999993
66,368.0
66,368.0
66,368.0
67,368.0
66,368.0
66,370.4
64,370.4
61,370.4
61,372.79999999999995
61,372.79999999999995
59,375.19999999999993
61,375.19999999999993
59,377.6
58,377.6
58,380.0
58,382.4
57,382.4
56,384.79999999999995
31,384.79999999999995
50,384.79999999999995
52,387.19999999999993
52,387.19999999999993
47,392.0
48,389.6
46,392.0
49,389.6
44,392.0
692,-140.8
48,394.4
47,396.79999999999995
46,396.79999999999995
45,396.79999999999995
40,396.79999999999995
43,399.19999999999993
42,404.0
41,406.4
40,401.6
39,399.19999999999993
39,401.6
38,399.19999999999993
37,399.19999999999993
37,399.19999999999993
36,404.0
36,411.19999999999993
33,404.0
28,404.0
32,406.4
32,406.4
32,406.4
31,411.19999999999993
30,408.79999999999995
29,411.19999999999993
28,406.4
29,406.4
28,411.19999999999993
27,413.6
27,413.6
26,413.6
25,416.0
24,416.0
23,416.0
22,418.4
20,418.4
21,420.79999999999995
19,420.79999999999995
17,423.19999999999993
15,423.19999999999993
16,423.19999999999993
17,428.0
13,423.19999999999993
14,423.19999999999993
13,423.19999999999993
11,420.79999999999995
9,425.6
8,420.79999999999995
7,423.19999999999993
8,425.6
6,425.6
4,428.0
4,428.0
4,430.4
3,430.4
2,432.79999999999995
1,432.79999999999995
0,432.79999999999995
0,435.19999999999993
0,435.19999999999993
0,435.19999999999993
0,435.19999999999993
0,435.19999999999993
0,435.19999999999993
0,437.6
0,437.6
0,471.19999999999993
0,471.19999999999993
0,471.19999999999993
0,468.79999999999995
0,468.79999999999995
0,468.79999999999995
0,468.79999999999995
0,466.4
0,466.4
0,464.0
0,464.0
0,461.6
0,461.6
0,461.6
1,461.6
1,459.19999999999993
2,459.19999999999993
3,459.19999999999993
1,468.79999999999995
1,456.79999999999995
1,456.79999999999995
5,456.79999999999995
5,456.79999999999995
7,456.79999999999995
8,454.4
10,442.4
9,452.0
8,452.0
8,452.0
8,452.0
8,452.0
9,449.6
18,440.0
18,440.0
18,440.0
16,442.4
16,442.4
3,444.79999999999995
15,444.79999999999995
14,442.4
14,442.4
11,447.19999999999993
3,452.0
19,452.0
27,447.19999999999993
32,444.79999999999995
33,437.6
31,437.6
34,437.6
34,437.6
32,442.4
35,435.19999999999993
33,435.19999999999993
34,435.19999999999993
41,432.79999999999995
40,447.19999999999993
33,430.4
36,430.4
39,430.4
41,430.4
42,430.4
40,430.4
43,428.0
40,428.0
42,428.0
37,428.0
46,425.6
48,428.0
49,425.6
47,423.19999999999993
39,423.19999999999993
48,423.19999999999993
51,420.79999999999995
52,420.79999999999995
53,418.4
55,416.0
54,432.79999999999995
55,418.4
56,416.0
54,416.0
58,413.6
59,416.0
58,413.6
58,416.0
60,413.6
62,413.6
62,413.6
62,416.0
66,416.0
67,411.19999999999993
68,411.19999999999993
68,411.19999999999993
69,411.19999999999993
69,411.19999999999993
69,411.19999999999993
72,408.79999999999995
72,413.6
70,408.79999999999995
72,408.79999999999995
73,408.79999999999995
75,406.4
77,404.0
78,401.6
78,401.6
78,404.0
80,404.0
81,401.6
81,401.6
82,401.6
83,399.19999999999993
82,399.19999999999993
1260,512.0
82,401.6
1257,509.6
82,399.19999999999993
1253,507.19999999999993
83,401.6
1249,504.79999999999995
86,401.6
1245,504.79999999999995
82,406.4
1241,502.4
88,399.19999999999993
1237,500.0
89,401.6
1233,497.6
89,399.19999999999993
1229,495.19999999999993
89,399.19999999999993
1225,476.0
89,399.19999999999993
1221,492.79999999999995
89,394.4
1217,490.4
1247,471.19999999999993
89,396.79999999999995
1213,488.0
1237,471.19999999999993
1199,418.4
92,396.79999999999995
1209,473.6
1241,468.79999999999995
89,394.4
1205,488.0
1234,466.4
94,394.4
1201,483.19999999999993
1246,464.0
1188,420.79999999999995
1256,507.19999999999993
1197,483.19999999999993
1223,464.0
1184,418.4
1193,466.4
1227,461.6
1180,413.6
95,394.4
1189,459.19999999999993
97,392.0
1185,476.0
1212,456.79999999999995
93,394.4
1182,473.6
1256,461.6
1205,454.4
95,392.0
1243,502.4
1178,471.19999999999993
1211,454.4
95,392.0
1233,495.19999999999993
1174,468.79999999999995
1212,452.0
99,389.6
1235,500.0
1170,466.4
1193,449.6
100,389.6
1167,454.4
1195,447.19999999999993
101,389.6
1163,466.4
1187,444.79999999999995
1149,404.0
1159,449.6
1192,444.79999999999995
98,387.19999999999993
1231,452.0
1155,442.4
102,387.19999999999993
1225,452.0
1151,440.0
103,384.79999999999995
1147,437.6
100,384.79999999999995
1218,447.19999999999993
1143,435.19999999999993
102,384.79999999999995
1139,435.19999999999993
103,384.79999999999995
1135,449.6
1162,432.79999999999995
105,382.4
1131,449.6
1156,430.4
1118,382.4
102,382.4
1127,440.0
1160,430.4
104,375.19999999999993
1123,428.0
105,380.0
1195,432.79999999999995
1120,425.6
1107,380.0
106,380.0
1116,423.19999999999993
104,382.4
1103,370.4
1187,430.4
1112,420.79999999999995
109,380.0
1099,370.4
1109,418.4
111,380.0
1095,370.4
1105,384.79999999999995
104,377.6
1101,428.0
1133,384.79999999999995
110,377.6
1097,382.4
111,377.6
1094,380.0
113,375.19999999999993
1088,392.0
1120,377.6
112,370.4
1149,456.79999999999995
1087,425.6
1116,408.79999999999995
1081,375.19999999999993
114,370.4
1079,404.0
111,370.4
1075,404.0
116,372.79999999999995
1071,401.6
113,372.79999999999995
1068,399.19999999999993
113,372.79999999999995
1064,399.19999999999993
1130,401.6
1060,384.79999999999995
116,375.19999999999993
115,368.0
1043,344.0
119,363.19999999999993
1040,332.0
114,372.79999999999995
1050,360.79999999999995
1036,329.6
1046,408.79999999999995
118,363.19999999999993
1072,358.4
1033,327.19999999999993
1042,387.19999999999993
121,363.19999999999993
1039,387.19999999999993
120,370.4
1035,368.0
1031,365.6
122,365.6
1027,365.6
123,365.6
123,370.4
1022,346.4
117,365.6
1020,344.0
123,363.19999999999993
1017,344.0
1014,344.0
997,312.79999999999995
124,363.19999999999993
994,310.4
121,356.0
989,310.4
132,372.79999999999995
985,308.0
128,360.79999999999995
983,305.6
124,358.4
992,346.4
129,358.4
976,303.19999999999993
130,356.0
978,329.6
977,327.19999999999993
130,356.0
975,324.79999999999995
128,353.6
973,322.4
131,351.19999999999993
970,320.0
133,353.6
966,320.0
132,353.6
963,317.6
134,353.6
962,317.6
134,336.79999999999995
958,315.19999999999993
136,346.4
954,312.79999999999995
951,310.4
936,286.4
137,346.4
947,310.4
135,344.0
931,284.0
138,344.0
927,281.6
135,341.6
923,279.19999999999993
140,339.19999999999993
933,303.19999999999993
921,279.19999999999993
139,353.6
916,276.79999999999995
140,339.19999999999993
914,276.79999999999995
140,344.0
911,274.4
142,339.19999999999993
906,272.0
142,341.6
917,296.0
144,336.79999999999995
897,269.6
142,339.19999999999993
911,293.6
142,336.79999999999995
908,291.19999999999993
138,339.19999999999993
891,267.19999999999993
147,336.79999999999995
