count(10HZ),latitude,longitude,batteryPercent
0,59.405615,16.427092,N/A
1,59.405615,16.427091,N/A
2,59.405614,16.42709,N/A
3,59.405614,16.42709,N/A
4,59.405613,16.42709,N/A
5,59.405613,16.427089,N/A
6,59.405613,16.42709,N/A
7,59.405613,16.427089,99
8,59.405612,16.42709,99
9,59.405612,16.427089,99
10,59.405612,16.427088,99
11,59.405612,16.427088,99
12,59.405612,16.427087,99
13,59.405612,16.427087,99
14,59.405612,16.427086,99
15,59.405612,16.427085,99
16,59.405611,16.427085,99
17,59.405611,16.427085,99
18,59.40561,16.427084,99
19,59.40561,16.427084,99
20,59.405609,16.427084,99
21,59.405609,16.427084,99
22,59.405608,16.427085,99
23,59.405608,16.427085,99
24,59.405607,16.427087,99
25,59.405607,16.427087,99
26,59.405607,16.427088,99
27,59.405606,16.427088,99
28,59.405606,16.427088,99
29,59.405605,16.427089,99
30,59.405605,16.427089,99
31,59.405605,16.42709,99
32,59.405605,16.427091,99
33,59.405604,16.427091,99
34,59.405604,16.427093,99
35,59.405604,16.427093,99
36,59.405604,16.427094,99
37,59.405604,16.427094,99
38,59.405604,16.427094,99
39,59.405604,16.427094,99
40,59.405605,16.427094,99
41,59.405605,16.427094,99
42,59.405606,16.427095,99
43,59.405606,16.427095,99
44,59.405607,16.427094,99
45,59.405607,16.427095,99
46,59.405606,16.427095,99
47,59.405606,16.427095,98
48,59.405606,16.427095,98
49,59.405606,16.427095,98
50,59.405606,16.427094,98
51,59.405606,16.427095,98
52,59.405606,16.427094,98
53,59.405606,16.427094,98
54,59.405606,16.427093,98
55,59.405606,16.427093,98
56,59.405606,16.427093,98
57,59.405606,16.427093,98
58,59.405607,16.427092,98
59,59.405607,16.427092,98
60,59.405606,16.427092,98
61,59.405607,16.427092,98
62,59.405607,16.427092,98
63,59.405607,16.427091,98
64,59.405607,16.427091,98
65,59.405607,16.427091,98
66,59.405607,16.42709,98
67,59.405608,16.42709,98
68,59.405608,16.42709,98
69,59.405608,16.42709,98
70,59.405608,16.427089,98
71,59.405609,16.427087,98
72,59.40561,16.427086,98
73,59.40561,16.427084,98
74,59.405611,16.427081,98
75,59.405612,16.427079,98
76,59.405612,16.427076,98
77,59.405612,16.427072,98
78,59.405613,16.427068,98
79,59.405613,16.427064,98
