x,y
882,284
152,305
879,283
149,304
875,283
154,305
860,272
154,305
857,272
864,281
156,301
863,280
156,300
860,280
154,303
855,280
854,279
158,304
851,278
159,309
848,278
159,303
845,277
842,277
157,303
838,276
161,301
835,276
160,302
832,275
160,299
829,274
163,302
825,274
164,301
822,273
819,273
816,272
164,296
813,272
165,297
810,271
166,300
807,271
166,296
804,270
167,300
801,270
798,269
169,295
795,269
792,268
170,293
789,268
786,267
172,295
783,267
172,296
780,267
777,266
774,265
176,297
771,265
178,292
767,264
765,264
172,295
811,292
753,254
178,295
759,263
178,295
757,262
179,295
754,262
180,290
751,261
748,261
179,297
746,261
182,295
742,260
727,245
182,294
737,260
180,294
734,259
511,95
179,292
731,259
179,297
728,257
182,294
725,257
183,294
716,256
718,256
187,295
717,256
188,294
714,256
180,290
711,255
188,291
709,255
190,291
706,254
189,289
703,252
191,290
701,252
698,252
195,290
696,251
693,251
194,290
691,251
194,289
688,251
195,292
685,250
196,289
682,262
746,248
679,250
676,248
674,249
198,283
671,249
668,248
665,248
663,259
727,247
661,247
202,286
658,258
721,247
206,288
656,246
206,289
654,255
715,246
204,286
651,246
648,246
206,287
646,256
708,244
207,288
643,244
207,282
640,245
205,285
637,243
210,285
636,243
211,286
624,243
214,285
631,243
212,286
628,253
688,242
213,283
624,241
621,252
683,241
214,285
618,240
215,283
616,251
676,240
217,282
614,240
217,283
612,240
609,240
219,286
607,239
218,284
605,249
664,238
218,282
602,238
599,248
658,237
222,282
597,247
655,237
222,282
594,237
224,286
592,236
223,285
589,236
224,286
587,235
224,286
584,245
582,245
640,235
578,245
228,282
575,244
230,282
573,244
632,234
229,282
571,234
230,282
569,243
231,282
566,243
564,242
233,282
561,242
619,231
232,281
558,231
233,281
557,241
234,281
553,231
236,281
551,240
549,240
235,282
546,239
235,282
544,239
235,282
541,238
237,282
539,238
238,281
536,238
238,281
534,237
238,281
532,237
238,280
528,236
235,280
527,236
524,236
243,280
521,235
520,235
244,279
517,234
246,279
515,234
512,234
248,279
510,233
249,279
508,233
657,50
250,280
505,232
520,122
495,89
250,279
503,232
500,232
501,231
496,231
253,277
493,231
491,230
254,277
489,230
486,229
483,229
256,276
481,228
505,108
479,228
258,276
476,228
259,276
474,227
260,276
472,227
469,226
467,226
465,226
463,225
711,105
460,225
458,225
266,275
455,224
524,71
453,224
451,224
448,223
446,223
269,274
444,222
441,222
439,222
271,273
458,224
437,221
434,221
272,273
432,221
429,220
427,220
449,222
425,219
422,219
274,271
420,218
417,218
415,218
413,217
276,271
410,217
408,216
405,216
278,271
403,216
278,271
401,215
279,270
396,215
396,214
393,214
391,214
282,269
388,213
386,212
384,212
382,212
406,214
379,211
377,211
374,210
286,267
370,210
368,210
390,212
367,209
363,209
361,208
359,208
353,207
351,207
348,210
372,207
346,206
344,206
291,264
341,205
339,205
293,263
341,204
513,124
293,263
334,204
334,204
294,263
332,203
295,263
330,203
295,262
325,202
296,263
325,202
320,201
297,261
318,201
316,201
313,200
311,200
308,200
306,199
304,199
490,107
301,198
399,135
507,111
299,198
296,201
318,197
655,179
522,113
706,107
540,88
304,258
294,197
304,258
292,197
289,200
311,196
138,150
287,196
201,154
512,78
287,199
306,195
206,154
112,130
385,128
620,120
50,110
495,109
307,256
282,195
280,198
303,195
307,256
278,194
275,194
308,255
273,197
296,193
271,193
308,255
268,193
723,149
717,108
309,255
266,196
288,192
309,254
264,192
311,254
261,195
284,192
310,254
259,191
311,253
257,191
254,194
277,190
312,253
252,194
274,190
250,190
532,98
247,193
270,189
245,189
243,189
240,188
238,192
260,188
236,188
233,187
231,187
229,187
226,186
224,190
246,186
222,186
219,185
217,189
239,185
214,185
212,188
235,184
210,188
232,184
207,184
322,247
205,183
323,247
202,183
200,183
198,183
324,246
196,182
285,627
325,246
193,186
216,181
325,246
191,181
641,168
179,159
745,144
716,139
387,119
325,245
189,181
186,185
208,181
184,181
328,244
181,180
137,543
179,179
176,184
199,180
174,179
172,178
169,179
166,183
189,179
164,178
162,178
159,178
156,182
179,178
154,176
152,182
175,176
150,176
147,175
145,181
166,175
142,175
140,175
138,175
135,180
157,174
399,113
423,102
514,98
132,175
130,174
510,97
128,173
126,179
147,173
338,238
123,179
144,173
338,238
121,174
121,173
115,172
113,172
133,172
111,172
108,178
130,156
106,171
103,171
101,171
99,178
120,171
97,178
118,170
94,170
91,170
88,170
87,170
84,170
82,169
79,169
76,169
74,169
56,157
72,169
34,150
504,106
192,55
129,23
350,232
69,169
67,168
351,231
65,168
62,168
351,233
60,176
79,168
57,176
77,158
352,231
55,175
74,158
53,169
84,157
51,157
48,167
45,167
43,175
62,157
41,175
59,157
473,104
38,174
25,150
57,143
35,174
55,150
33,150
30,149
28,154
26,151
24,156
21,156
18,155
16,156
14,155
11,174
33,156
9,156
6,156
4,153
365,228
2,174
8,156
0,174
19,153
0,174
28,152
366,230
0,174
26,150
366,228
0,150
367,227
0,153
405,109
0,149
405,114
0,151
255,608
0,151
0,154
238,602
0,155
140,147
409,127
109,117
408,72
208,63
141,42
120,13
0,155
0,155
0,155
0,155
0,155
