label,x,y,l,angle,offset
motion,656,214,38.97014725372408,47.07315014884642,0
motion,584,207,33.81461455556081,35.513034447466865,0
motion,654,214,46.80656124015414,46.822432687632876,0
motion,650,212,50.13335479696197,46.046381907098166,0
motion,579,205,35.681308463320974,34.39884513634788,0
motion,648,211,52.8267955903213,45.65552951359031,0
motion,578,207,37.32356165424725,34.464287690907845,0
motion,646,211,47.15660685377002,45.395137042507486,0
motion,645,210,51.691076743117904,45.131714203638616,0
motion,640,210,43.596642997465764,44.467031377345755,0
motion,639,209,37.69571233984323,44.20057588668246,0
motion,639,210,35.589359627360956,44.332247256584544,0
motion,571,207,28.43278676870861,33.20657031508953,0
motion,566,206,27.74243591442294,32.16822095746991,0
motion,632,207,33.94087033938468,42.978635059643985,0
motion,565,206,27.856970111412664,31.9820732909346,0
motion,637,207,33.59404614099189,43.66778014613036,0
motion,621,212,30.990817035603875,42.06074399999673,0
motion,620,204,31.104714236645098,40.87523339385762,0
motion,619,204,30.975745317495985,40.72800828916445,0
motion,620,203,31.064522745931203,40.74842214869173,0
motion,617,203,30.856111399065057,40.30508572074898,0
motion,616,202,30.740606586043775,40.03025927188969,0
motion,550,204,26.572586906062075,28.87978914340809,0
motion,611,209,30.110050189364777,40.16559369373673,0
motion,610,201,30.401066290631974,38.998286365173634,0
motion,604,209,30.196069694081586,39.07406417998195,0
motion,605,207,29.832623432742636,38.97600691768038,0
motion,604,206,29.542559196144786,38.69141099744513,0
motion,602,200,29.451203638884955,37.629531996821285,0
motion,601,205,29.777939963927935,38.08877288097531,0
motion,603,199,29.916186892501106,37.665621198583295,0
motion,592,198,29.05332026605079,35.77365578022381,0
motion,592,194,30.649392675500387,35.304390076617565,0
motion,595,197,29.866865194809424,36.14569181167815,0
motion,587,193,30.583432152693568,34.362785490709925,0
motion,583,208,29.706675946441557,35.46336424154059,0
motion,578,192,28.457534642773336,32.72290194889197,0
motion,584,201,28.439681836670236,34.787332366113134,0
motion,575,211,28.26236082712704,34.4183644790562,0
motion,578,191,28.33018088633872,32.61235324684975,0
motion,577,204,28.128385510099864,33.926581268288366,0
motion,572,194,27.729889479677734,31.894731009781268,0
motion,576,198,28.273725675633905,33.050242778506146,0
motion,567,199,27.452057043101647,31.551384948313476,0
motion,570,203,27.856497585424712,32.55387012597839,0
motion,492,188,24.576556703214273,15.214540962311446,0
motion,564,198,27.4743911236368,30.890111611816444,0
motion,492,189,24.53581050018561,15.275486913900124,0
motion,560,198,27.242731800886922,30.14742113400952,0
motion,553,205,26.846654546989303,29.577838681261333,0
motion,559,205,27.406045095508674,30.7354877019201,0
motion,558,205,27.376990557576214,30.544433629756192,0
motion,556,205,27.287956769952316,30.16006083808709,0
motion,563,199,27.57973415995275,30.815705751729176,0
motion,484,195,24.02452771919142,13.803571530623273,0
motion,544,206,26.48200961020055,27.89727103094763,0
motion,550,198,26.81254207635613,28.241041582819093,0
motion,538,208,25.89310335539946,26.87813975209864,0
motion,537,215,26.01956946209019,27.423350707109506,0
motion,464,204,23.168387939894846,9.420652557544628,0
motion,538,201,26.219083055291033,26.157983216288258,0
motion,291,445,20.977681294655216,262.4605548604907,0
motion,516,200,24.930365502763316,21.40867990540211,0
motion,434,93,27.78125,1.2006339815250442,0
motion,291,446,20.986703043078208,262.04691802856155,0
motion,8,437,46.75318362821176,268.63281850545684,0
motion,287,426,22.165461927361374,-89.59075139196506,0
motion,14,369,51.23150003997378,-82.0058995798326,0
motion,516,198,25.12003112443565,21.238430527435696,0
motion,284,161,29.976071652887697,-28.262207366678297,0
motion,421,100,27.49684120495966,-1.0511807495437608,0
motion,20,71,55.79804294197921,-48.824042784696616,0
motion,405,70,29.067127055682498,-3.526372947554833,0
motion,8,438,46.96783058567837,268.49616028587684,0
motion,290,432,20.200882755197416,267.9098408462893,0
motion,14,370,47.4944212764036,-82.14199224661786,0
motion,134,292,36.833807449158215,-65.26207253235225,0
motion,96,247,44.08631364631974,-61.46235848527115,0
motion,459,182,24.061268419764502,7.441405489743715,0
motion,144,172,41.672205061718145,-47.979248515128376,0
motion,282,163,29.984504554261985,-28.777458020472437,0
motion,436,92,27.91332833667589,1.5389194243864495,0
motion,24,71,53.37550634462869,-48.54343548134514,0
motion,405,63,29.469635936231715,-3.458724318806418,0
motion,411,18,31.13823903829176,-2.2402573541447595,0
motion,260,13,36.35677235814275,-21.968243647368524,0
motion,290,443,20.296235216814352,263.33869836022984,0
motion,8,439,45.38350532196636,268.3595191783585,0
motion,288,428,21.836981179053662,269.58780725859765,0
motion,14,370,50.6035127803808,-82.14199224661786,0
motion,134,302,39.48021517639963,-66.89587894652092,0
motion,93,245,45.37685970836496,-61.413583882566,0
motion,458,183,24.0198336707002,7.240590129645,0
motion,144,175,39.91216093791928,-48.3162342642743,0
motion,276,172,30.441728753167162,-30.63218743532633,0
motion,209,107,35.50158085324459,-34.26464777191768,0
motion,409,94,28.02793488676559,-3.0940580589171134,0
motion,19,73,52.325006834766384,-49.05355423183141,0
motion,406,62,29.43978241797194,-3.2928394003648833,0
motion,406,16,31.38506352256031,-2.9249779491563856,0
motion,449,202,23.057472190559558,5.584502276986939,0
motion,515,184,25.29750509007249,19.907343551825335,0
motion,146,173,41.912446257328355,-47.8891115630949,0
motion,281,168,30.19480500956095,-29.410241416999114,0
motion,433,92,27.869723065457134,1.0260833582009639,0
motion,25,72,54.43565632382838,-48.55277331887288,0
motion,406,63,29.367926400310022,-3.301865674435021,0
motion,411,15,31.324798685686993,-2.223961240385492,0
motion,510,213,24.16181621786873,21.19880619383457,0
motion,505,210,24.122780069345737,19.77082227833708,0
motion,506,211,24.129640344604912,20.089525009321036,0
motion,426,203,22.982237619745973,-0.25578303073926634,0
motion,503,217,23.711684319094473,19.895431334765647,0
motion,506,212,23.978830900987035,20.17544523081665,0
motion,506,221,23.73639499117244,20.981576341421373,0
motion,442,212,22.539489800561064,3.990913098429772,0
motion,511,214,24.285067078928442,21.522600107907067,0
motion,512,220,24.17136628368904,22.32442697081393,0
motion,447,210,22.702083024022148,5.265840311779101,0
motion,524,209,25.02196408612922,23.98687015587808,0
motion,524,209,24.92062258314089,23.98687015587808,0
motion,523,209,24.74399307941178,23.767107704581562,0
motion,527,209,25.006517866764703,24.641661999558337,0
motion,453,216,22.422988938307334,7.02473212310673,0
motion,516,217,24.472219878106102,22.96769340056092,0
motion,513,185,25.543371914711905,19.56378361958265,0
motion,450,209,22.787096327596295,6.022686897901451,0
motion,518,219,24.492757591141277,23.629377730656813,0
motion,529,208,25.24448694464391,24.9739109058834,0
motion,516,205,24.559300282330653,21.845893778277727,0
motion,528,208,25.004766508521406,24.758547525706717,0
motion,524,206,24.854526699063832,23.697344222517117,0
motion,531,207,25.14039003449462,25.301378625419716,0
motion,525,208,24.806659184946177,24.107970962847318,0
motion,525,217,24.69903313389335,25.016893478100016,0
motion,536,207,25.55397294140475,26.35632430621871,0
motion,529,204,25.083912272103817,24.579314115696206,0
motion,527,222,24.73353459552601,26.003345844511443,0
motion,529,207,25.14133231258923,24.874153914127632,0
motion,529,207,25.043378586083854,24.874153914127632,0
motion,530,218,24.98831758335554,26.2351367071037,0
motion,530,212,25.187120606225015,25.59767216178186,0
motion,467,210,22.957871334917925,10.44419547535584,0
motion,527,204,25.14063804759853,24.152918782772176,0
motion,532,204,25.161204991172788,25.213495871478642,0
motion,469,209,22.993365749985287,10.905022045234446,0
motion,534,207,25.367065085926377,25.93660347920958,0
motion,534,203,25.373763629692352,25.532806485512253,0
motion,535,213,25.19113192404403,26.778840406955112,0
motion,537,206,25.41973683927261,26.461254588610522,0
motion,537,207,25.41618910309393,26.56505117707799,0
motion,537,213,25.406727125718916,27.20401107606962,0
motion,470,205,23.28844381271148,10.962087262325284,0
motion,473,205,23.304618156887905,11.706436729153339,0
motion,538,203,25.605307893417578,26.360058207353106,0
motion,474,204,23.305174864363963,11.901606238167574,0
motion,536,204,25.545461713677874,26.04888694731315,0
motion,475,206,23.249847625625986,12.254009914471581,0
motion,548,206,26.239945751348067,28.701203618462685,0
motion,541,212,25.69351424473489,27.933991243510263,0
motion,542,206,25.79689363221065,27.490755209742346,0
motion,541,203,25.627405125239683,26.972843433643746,0
motion,555,206,26.436284264483987,30.078801437682948,0
motion,541,202,25.6690017915496,26.869813087499068,0
motion,546,205,25.834252997008043,28.192912264269815,0
motion,547,205,25.92487201738118,28.393019421382988,0
motion,480,208,23.32422174430049,13.604528864632073,0
motion,547,205,26.111073684290396,28.393019421382988,0
motion,548,205,26.027248389437965,28.592373877578183,0
motion,483,209,23.429952754319054,14.406685156436879,0
motion,550,205,26.27924952689788,28.988822521191537,0
motion,488,209,23.479419113816647,15.632497303055217,0
motion,547,202,26.134204700700586,28.072486935852957,0
motion,488,208,23.574351824507442,15.56458363860736,0
motion,549,201,26.260796308602544,28.361194329573713,0
motion,544,201,25.885332760583438,27.370562665503762,0
motion,553,205,26.243021307237527,29.577838681261333,0
motion,564,205,27.04955425364298,31.679445678445234,0
motion,554,213,26.458554978687296,30.68734898886163,0
motion,548,203,26.055247615908385,28.376967186227787,0
motion,550,203,26.089069637000925,28.771502969421327,0
